ID;Nafn;Staðsetning;Val1;Val2;Val3;Val4;Val5;Val6;
1;Gotti;Bergsstöðum;47.2;100;8;182;17.5;102;119;8.6;
2;Hrói;Geirmunarstöðum;63;107;8;0;17.3;108;108;8.5;
3;Dökkvi;Hesti;45.5;102;7.8;157;17.2;105;120;8.5;
4;Bolli;Miðdalsgröf;51;109;9;0;17.5;111;109;9;
5;Týr;Melum 1;38;96;8;0;17.5;105;131;8.5;
6;Papi;Bjarnastöðum;45.6;82;8;428;17.6;106;140;8.7;
7;Tengill;Brekku;45;94;8;0;17.5;97;145;9;
8;At;Hafrafellstungu;45.6;110;7.9;244;17.5;110;139;8.5;
9;Gráni;Stórutjörnum;48.3;111;7.9;381;17.4;105;122;8.6;
10;Ylur;Hjarðarfelli;47.4;111;8;184;17.2;96;117;8.4;
11;Neisti;Heydalsá;47;106;8.5;0;18.5;104;116;9;
12;Logi;Melum 1;53;109;8.5;0;18;101;114;9;
13;Kveikur;Hesti;49;113;7.8;1085;17.4;106;118;8.6;
14;Shrek;Kollsá;49.5;117;8.1;82;17.3;103;118;8.5;
15;Cat;Sveinungsvík;47.7;98;7.6;193;17.5;100;128;8.6;
16;Fannar;Ytri-Skógum;46.4;105;7.9;222;17.4;101;125;8.6;
17;Hvellur;Borgarfelli;48.8;112;8;552;17.3;96;113;8.6;
18;Raftur;Hesti;47.1;106;7.8;1406;17.6;112;122;8.6;
19;Blossi;Heydalsá;54;108;8.5;0;18;111;113;9;
20;Blettur;Ytri-Skógum;44.9;100;7.9;332;17.2;99;109;8.3;
21;Mundi;Brúnarstöðum;46;104;7.5;0;16.5;110;126;8.5;
22;Hriflon;Hriflu;49;112;8;0;18;110;124;8.5;
23;Skrauti;Kjarðarfelli;45;111;7;0;17.3;98;112;8.5;
24;Krókur;Staðarbakka;47.5;101;8;218;17.5;97;157;8.7;
25;Undri;Heiðdalsá;49.1;108;8.4;76;17.2;100;109;8.4;
26;Ás;Ásgarði;48.8;121;8.1;82;17.2;108;110;8.3;
27;Sokki;Brúnarstöðum;41;108;7.0;0;17.3;108;144;8.5;
28;Freyðir;Hesti;46.4;105;7.9;135;17.4;103;118;8.6;
29;Vöðvi;Hafnardal;47;100;8;0;17.5;106;112;9;
30;Kjói;Sauðadalsá;48.8;116;8.4;160;17;94;111;8.3;
31;Bogi;Heydalsá;49.9;110;8.3;310;17.3;102;116;8.5;
32;Falur;Heydalsá;48.3;106;8.2;26;16.9;95;114;8.3;
33;Borði;Hesti;42;110;8;0;18;104;120;9;
34;Bramli;Hesti;47.5;104;7.8;347;17.2;106;102;8.4;
35;Kaldi;Kaldbak;47.8;100;7.9;218;17.1;135;93;8.4;
36;Vorm;Holdahólum;47.6;95;7.8;158;17.3;111;122;8.5;
37;Smyrill;Smyrlabjörgum;47.8;101;7.9;97;17.2;95;114;8.4;
38;Prjónn;Hesti;47.5;110;7.8;370;17.5;105;122;8.6;
39;Grábotni;Vogum 2;45;102;7.5;0;17.5;106;139;8.5;
40;Kóngur;Sauðá;59;108;8;0;17.5;105;114;8.5;
41;Garpur;Smáhömrun;48.6;106;8.2;101;17.3;98;116;8.5;
42;Broddi;Broddanesi 1;57;92;7.5;0;18.0;99;144;9.5;
43;Frakkson;Árbæ;49.6;110;8.4;325;17.2;106;117;8.4;
44;Þróttur;Staðarbakka;48;106;7.8;222;17.4;105;121;8.5;
45;Bifur;Hesti;45.5;96;7.7;407;17.5;110;115;8.7;
46;Stáli;Teigi 1;85;102;8;0;17.5;100;130;9;
47;Fálki;Borgarfelli;51;103;7.5;0;17.5;102;142;9;
48;Kjarkur;Ytri-Skógum;48;108;7.5;0;17.0;108;115;8.5;
49;Hólmi;Hesti;45;104;7.5;0;18;95;93;9;
50;Púki;Bergsstöðum;49;111;7.7;403;17.3;114;119;8.5;
51;Mjöður;Hesti;46.4;102;8;210;17.5;103;127;8.6;
52;Mókollur;Borgarfelli;49.6;111;7.9;135;16.9;122;102;8.2;
